course_name,day_num,unit_num,unit_descr,lesson_num,lesson_descr,std,std_descr,notes
Python I Programming Honors,79,10,PCEP Preparation and Exam,9,,,,
Python I Programming Honors,80,10,PCEP Preparation and Exam,10,,,,
Python I Programming Honors,81,10,PCEP Preparation and Exam,11,,,,
Python I Programming Honors,82,10,PCEP Preparation and Exam,12,,,,
Python I Programming Honors,83,10,PCEP Preparation and Exam,13,,,,
Python I Programming Honors,84,10,PCEP Preparation and Exam,14,,,,
Python I Programming Honors,85,10,PCEP Preparation and Exam,15,,,,
Python I Programming Honors,86,10,PCEP Preparation and Exam,16,,,,
Python I Programming Honors,87,10,PCEP Preparation and Exam,17,,,,
Python I Programming Honors,88,10,PCEP Preparation and Exam,18,,,,
Python I Programming Honors,89,10,PCEP Preparation and Exam,19,,,,
